Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
RNPEP	1	1	1	1	1	1	1	1	1	1	1		92	92	18	1	1	1		68	32	1		79	19	1		16	1	83		100	1	1	1		65	9	27		99	1		84	1	16		97	1	1	3
RRM1	1	1	1	1	1	1	1	1	1	1	1		112	58	32	1	1	1		66	34	1		89	9	1		38	1	62		100	1	1	1		81	6	12		93	7		85	1	15		95	1	1	5
SEC23IP	1	1	1	1	1	1	1	1	1	1	1		120	1	80	1	1	1		79	21	1		6	93	1		5	3	93		100	1	1	1		64	1	36		100	1		73	1	27		94	1	1	6
SEC31A	1	1	1	1	1	1	1	1	1	1	1		62	24	86	28	1	1		50	36	14		73	25	1		1	2	97		100	1	1	1		45	15	40		99	1		67	1	33		68	1	1	32
SNX1	1	1	1	1	1	1	1	1	1	1	1		86	90	20	4	1	1		72	28	1		81	18	1		35	12	53		100	1	1	1		48	6	47		100	1		78	1	22		74	1	1	26
SNX2	1	1	1	1	1	1	1	1	1	1	1		116	18	68	1	1	1		76	23	1		80	16	5		5	1	94		100	1	1	1		50	3	46		99	1		83	1	17		55	1	1	45
SPAG9	1	1	1	1	1	1	1	1	1	1	1		108	62	28	1	1	1		99	1	1		1	1	1		36	6	59		100	1	1	1		100	1	1		99	1		84	1	16		1	1	1	1
SRM	1	1	1	1	1	1	1	1	1	1	1		154	20	12	4	1	12		68	32	1		92	6	1		16	3	82		100	1	1	1		47	4	49		100	1		68	1	32		94	1	1	6
STAT1	1	1	1	1	1	1	1	1	1	1	1		92	86	10	6	6	1		52	48	1		77	20	3		12	1	88		100	1	1	1		45	7	49		100	1		84	1	16		93	1	1	7
STAT2	1	1	1	1	1	1	1	1	1	1	1		112	70	18	1	1	1		52	48	1		39	58	4		1	1	100		100	1	1	1		100	1	1		96	4		96	1	4		1	1	1	1
