Gene	Cyt Thakar	Nucl Thakar	TOT Thakar
DIAPH1	88	1	12
DIAPH3	95	1	5
DIDO1	1	100	1
DIMT1	1	90	10
DIP2B	77	1	23
DIP2C	100	1	1
DIS3	62	7	31
DIS3L2	81	1	19
DISP2	1	1	100
DKC1	1	100	1
DLAT	1	3	97
DLD	4	16	80
DLG1	39	9	52
DLGAP5	50	50	1
DLST	1	5	95
DMAP1	1	100	1
DMD	52	1	48
DNAAF5	94	1	6
DNAH2	1	100	1
DNAJA1	48	11	42
DNAJA2	41	7	52
DNAJA3	1	66	34
DNAJB1	73	3	24
DNAJB11	1	16	84
DNAJB12	1	1	100
DNAJB4	71	3	26
DNAJB6	15	36	49
DNAJC10	1	74	26
DNAJC11	1	82	18
DNAJC13	47	1	53
DNAJC15	1	1	100
DNAJC17	25	11	64
DNAJC19	1	1	100
DNAJC2	96	1	4
DNAJC21	93	1	7
DNAJC3	1	34	66
DNAJC5G	100	1	1
DNAJC6	1	1	100
DNAJC7	77	2	21
DNAJC8	32	31	37
DNAJC9	74	1	25
DNAL4	1	1	100
DNASE2	1	1	100
DNM1L	93	1	7
DNM2	90	1	10
DNMT1	27	37	36
DNPEP	2	1	98
DNPH1	87	1	13
DNTTIP2	1	100	1
DOCK1	90	1	10
DOCK5	90	1	10
DOCK6	1	1	100
DOCK7	87	1	13
DOCK9	93	1	7
DOHH	66	1	34
DOLPP1	1	1	100
DOPEY2	100	1	1
DPAGT1	1	1	100
DPCD	77	1	23
DPF2	1	75	25
DPH1	79	1	21
DPH2	81	1	19
DPH5	92	1	8
DPH6	100	1	1
DPM1	1	10	90
DPM3	2	4	95
DPP3	89	1	11
DPP8	1	1	100
DPP9	87	1	13
DPY30	100	1	1
DPYSL2	86	1	14
DR1	73	14	14
DRAP1	45	34	21
DRG1	72	3	25
DRG2	81	1	19
DSC1	100	1	1
DSC3	100	1	1
DSG1	100	1	1
DSG2	14	85	1
DSP	65	23	12
DST	87	11	2
DSTN	85	2	13
DTD1	72	1	28
DTL	1	1	100
DTX3L	45	1	55
DTYMK	56	1	44
DUS3L	36	1	64
DUSP12	94	1	6
DUSP23	80	1	20
DUSP3	87	1	13
DUT	68	2	30
DVL2	100	1	1
DYM	100	1	1
DYNC1H1	88	1	11
DYNC1I2	91	1	9
DYNC1LI1	92	1	8
DYNC1LI2	82	1	18
DYNC2H1	100	1	1
DYNC2LI1	50	50	1
DYNLL1	79	5	15
DYNLL2	42	25	34
DYNLRB1	77	1	22
DYNLT1	95	1	5
DYNLT3	88	1	12
DYSF	100	1	1
EARS2	1	1	100
