Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho
ELMO2	33	33	33
ELMOD2	1	98	2
ELOVL1	14	82	5
ELOVL5	1	99	1
ELP2	92	8	1
ELP3	92	8	1
ELP4	52	47	1
ELP5	100	1	1
ELP6	100	1	1
EMD	11	86	3
EMG1	21	79	1
EML1	81	19	1
EML3	25	74	1
EML4	65	34	1
EMP3	1	1	100
ENAH	100	1	1
ENDOD1	1	94	6
ENDOG	1	1	100
ENO1	73	27	1
ENO2	65	35	1
ENO3	80	10	10
ENOPH1	68	32	1
ENSA	33	33	33
ENTPD1	6	74	20
ENY2	3	97	1
EOGT	1	76	22
EP400	1	100	1
EPB41	14	69	17
EPB41L2	26	67	7
EPB41L3	57	27	16
EPHX1	17	79	4
EPN1	23	71	6
EPN2	1	1	100
EPN3	1	97	3
EPPK1	33	33	33
EPRS	53	42	4
EPS15	76	24	1
EPS15L1	12	64	24
EPT1	1	99	1
ERAL1	1	38	61
ERAP1	14	80	6
ERAP2	29	53	18
ERC1	92	1	8
ERCC1	62	38	1
ERCC2	11	89	1
ERCC3	1	100	1
ERCC4	1	100	1
ERGIC1	3	89	8
ERGIC2	4	89	7
ERGIC3	1	83	17
ERH	5	94	1
ERI1	66	34	1
ERI3	16	84	1
ERLEC1	9	83	8
ERLIN1	12	80	8
ERLIN2	11	83	5
ERMP1	21	66	13
ERO1L	23	71	6
ERP29	31	50	19
ERP44	16	75	9
ESD	77	23	1
ESYT1	15	80	5
ESYT2	17	76	7
ETF1	36	63	1
ETFA	1	54	45
ETFB	5	54	41
ETFDH	1	16	84
ETHE1	1	1	100
ETV6	1	99	1
EWSR1	54	45	1
EXD2	1	79	21
EXO1	47	53	1
EXOC1	4	95	1
EXOC2	11	88	1
EXOC3	6	90	4
EXOC4	9	89	2
EXOC5	6	93	1
EXOC6	3	95	2
EXOC7	1	98	1
