"Gene"	"Cyt.Larance"	"Nucleus.Larance"	"Cytoskeleton.Larance"	"Membrane.Larance"
"COMMD1"	61	1	1	39
"COMMD10"	91	1	1	9
"COMMD2"	93	1	1	7
"COMMD3"	95	1	1	5
"COMMD4"	86	1	1	14
"COMMD5"	93	1	1	7
"COMMD6"	97	1	1	3
"COMMD7"	92	1	1	8
"COMMD8"	98	1	1	2
"COMMD9"	89	1	1	11
"COMT"	12	1	2	85
"COPA"	54	1	1	45
"COPB1"	45	1	1	55
"COPB2"	55	1	1	44
"COPE"	41	2	1	56
"COPG1"	56	1	2	41
"COPG2"	24	14	1	62
"COPS2"	68	1	1	32
"COPS3"	73	1	1	27
"COPS4"	70	1	1	30
"COPS5"	81	1	2	17
"COPS6"	79	1	1	20
"COPS7A"	64	1	1	36
"COPS7B"	77	1	1	23
"COPS8"	79	1	1	20
"COPZ1"	38	3	1	59
"COQ5"	1	3	1	97
"COQ6"	1	35	29	36
"COQ9"	1	1	1	99
"CORO1A"	50	50	1	1
"CORO1B"	74	17	2	6
"CORO1C"	19	41	36	3
"CORO2A"	1	59	41	1
"CORO2B"	33	16	1	51
"CORO7"	96	1	1	4
"COTL1"	89	1	1	11
"COX15"	1	64	1	36
"COX16"	1	19	1	81
"COX20"	1	7	30	63
"COX4I1"	1	24	27	50
"COX5A"	1	25	1	75
"COX5B"	1	20	32	48
"COX6A1"	1	29	31	40
"COX6C"	1	25	10	65
"COX7A2L"	1	22	27	51
"CPA4"	1	1	1	100
"CPD"	1	1	1	100
"CPNE1"	85	1	1	15
"CPNE2"	82	1	1	18
"CPNE3"	96	1	1	4
"CPNE7"	1	78	1	22
"CPOX"	1	1	1	99
"CPPED1"	91	1	1	9
"CPS1"	1	1	1	100
"CPSF1"	6	52	30	13
"CPSF2"	1	86	5	9
"CPSF3"	9	63	15	12
"CPSF3L"	9	69	1	22
"CPSF4"	1	51	49	1
"CPSF6"	1	18	22	60
"CPSF7"	1	41	16	43
"CPT2"	1	1	1	100
"CRABP2"	96	1	1	4
"CRADD"	100	1	1	1
"CREB1"	1	67	25	7
"CREBBP"	8	5	1	86
"CREG1"	1	2	1	98
"CRIP2"	44	1	1	56
"CRIPT"	88	12	1	1
"CRK"	89	1	1	11
"CRKL"	88	1	1	12
"CRMP1"	98	1	1	2
"CRNKL1"	1	42	57	1
"CROCC"	1	33	1	67
"CRTAP"	1	11	24	64
"CRYAB"	61	1	27	11
"CRYZ"	34	1	1	66
"CRYZL1"	100	1	1	1
